1188, 2560
1491, 2000
1773, 1620
2091, 1416
2094, 1575
1668, 2000
1977, 2262
2124, 2268
2271, 2070
2289, 2421
2454, 2514
2964, 1947
3138, 2286
3618, 2187
4047, 1695
3624, 2000
3174, 2790
2703, 3240
3081, 3150
3405, 2982
3795, 3264
4110, 2484
4515, 2340
4650, 2652
5427, 2000
5688, 2187
5544, 2544
5655, 2649
5787, 2751
5985, 2754
6216, 2877
6573, 2997
6132, 3156
5505, 2922
4839, 3195
4650, 2652
4617, 1695
3882, 1218
3219, 1509
2703, 1575
2157, 2000
2208, 2670
2547, 2730
2130, 3156
1665, 3129
1785, 2652

